question_id,question,recall@1,recall@5,recall@10,mrr,latency_seconds,first_hit_rank
2hop__54651_169233,What award did the singer of Never Had a Friend Like Me in Aladdin receive?,1,1,1,1.0,0.05273159999999999,1
4hop1__342858_131850_33952_33939,What was the population in 1900 of the second largest city in the US state having the Library District of the county containing Yuma?,1,1,1,1.0,0.02165040000000018,1
3hop1__131820_59747_60748,The largest city in the state where WEKL broadcasts had an historic battle that was fought when?,0,0,1,0.16666666666666666,0.03930050000000018,6
2hop__754682_730690,What movement was Vibullia Alcia Agrippina's child a proponent for?,1,1,1,1.0,0.018550599999999973,1
4hop3__131820_29339_508306_70744,"Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?",0,0,0,0.0,0.03973650000000006,
2hop__341305_332933,What is the capital of the county that Pine Springs is located in?,0,1,1,0.5,0.06229580000000001,2
3hop1__567955_503371_21711,When was the Palau de la Generalitat constructed in the city where Martin of the region where Layana is located died?,1,1,1,1.0,0.02544869999999988,1
2hop__142443_768138,Who is the brother of the artist who made Nothin' My Love Can't Fix's album?,1,1,1,1.0,0.017819299999999982,1
3hop1__140786_2053_52946,"When is Celebrity Big Brother coming to the broadcast company that, along with the network of Just Men!?, and ABC, is one of the major broadcasters based in New York?",1,1,1,1.0,0.037781799999999865,1
3hop1__46571_87694_124169,When did the Governor of the city where the Basilica named after the saint holding the knife in the Last Supper is located in end?,0,0,1,0.1111111111111111,0.022513800000000028,9
2hop__65576_80026,Who played the spoilt character in Charlie and the Chocolate Factory?,0,0,0,0.0,0.02987849999999992,
4hop1__151650_5274_458768_33632,What day is the Feast in the city where the headquarters of the only group larger than Desde El Principio's record label held on?,1,1,1,1.0,0.035287099999999905,1
2hop__401710_456439,Who is the spouse of the producer of Dolores Claiborne?,0,1,1,0.5,0.050099399999999905,2
4hop1__9007_698949_157828_239539,The original language of the film titled and about the city of Tito's final resting place is the co-official language of a country. Where are the headquarters for that country's national radio and TV broadcaster?,0,0,0,0.0,0.023504100000000028,
2hop__17854_17873,What happened to Buckingham Palace after the first monarch to reside there left?,0,0,1,0.16666666666666666,0.025893900000000025,6
2hop__307719_121900,What college did the 2011 Australian Open - Men's Doubles winner go to?,0,0,0,0.0,0.10499939999999985,
3hop1__358853_339990_54675,"What mountain can you see from Portland, in the state that Raven Creek is located in?",1,1,1,1.0,0.0366552,1
3hop2__89048_809962_66294,Who played who sang is she really going out with him in the composer of speechless movie?,1,1,1,1.0,0.022731000000000057,1
3hop1__68981_91191_16530,Who was appointed arbitrator by the first convert to the faith that is the most common religion in Southeast Asia?,0,1,1,0.25,0.018600699999999915,4
4hop2__9988_158985_70784_61381,When was the region immediately north of the region prevailing with the disgrace of the Near East and the site of the most growth in desalination for agricultural use established?,1,1,1,1.0,0.0193527,1
2hop__345_59409,Who was the person who purchased Tidal's parent company in 2015 talking about in the song 'Cry?',1,1,1,1.0,0.02044990000000002,1
2hop__64323_55840,Who played the king that was king of england in 1951 in the king's speech?,1,1,1,1.0,0.028305000000000025,1
3hop1__796649_720914_41132,How many times did the plague occur in the city where Flora's painter died?,1,1,1,1.0,0.01982280000000003,1
3hop1__540585_568433_47686,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,1,1,1,1.0,0.022388300000000028,1
2hop__35137_22899,What age did the writer of The Canon of Medicine learn the entire quran?,0,1,1,0.2,0.023351300000000075,5
2hop__13548_13529,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,0,1,1,0.3333333333333333,0.03011889999999995,3
2hop__83489_747874,Who is the brother of the player who has won the most bbc sports personality of the year awards?,0,1,1,0.3333333333333333,0.029645700000000108,3
3hop1__849312_503371_21711,When was the Palau de la Generalitat constructed in the city where Martin from the region where Perdiguera is located died?,1,1,1,1.0,0.022333999999999854,1
2hop__38229_84500,What does the name of the topic that Eisenhower didn't discuss during the campaign stand for?,1,1,1,1.0,0.044241600000000325,1
2hop__2150_78851,Which professional sports team would you not see play a home game in where the Amateur Boxing Golden Gloves takes place?,0,0,1,0.14285714285714285,0.04582109999999995,7
3hop2__103889_30152_20999,How were the people that the Ajuran Empire declared independence from by minting coins expelled from Zaw Win Thet's country?,0,1,1,0.5,0.018843400000000177,2
3hop1__857_846_7870,"Other than at the 1912 block found in the city where the Yongle Emperor met the leader that the edict was addressed to, where else are there lots of bars?",1,1,1,1.0,0.04795319999999981,1
2hop__811015_3300,What season was the performer of Blue Skies on?,0,1,1,0.3333333333333333,0.06392670000000011,3
4hop1__58323_375563_161848_44231,"During WW2, who was the leader of the country near the country of citizenship of the writer of The Book Thief?",0,1,1,0.5,0.038442899999999725,2
2hop__55552_158105,What two features of Windows 98 were highlighted by the man who announced Windows in 1983?,1,1,1,1.0,0.019331100000000045,1
4hop1__473563_309800_355213_203322,Which county shares border with the county having the birth city of the director of Let the Good Times Roll?,1,1,1,1.0,0.01946849999999989,1
2hop__157251_556157,What river does the system containing Umchabezi River serve as the mouth of?,1,1,1,1.0,0.01985989999999971,1
2hop__84847_21969,When was the 1st governor general of India impeached?,0,1,1,0.2,0.022851899999999592,5
4hop1__129721_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Zubly Cemetery is located in?,1,1,1,1.0,0.030312300000000292,1
2hop__478978_124498,Who is the father of the performer of Je dis aime?,1,1,1,1.0,0.04061899999999996,1
4hop1__105688_17130_70784_61381,The country that Eyal Golan is from lies within a certain region. When was the area that lies immediately to the north of that region established?,1,1,1,1.0,0.03418050000000017,1
2hop__178922_5385,How many people work in the publisher of World Literature Today?,0,1,1,0.5,0.025409799999999816,2
4hop2__5206_39078_8987_8974,Where is the embassy in the only communist country whose military branch helping the Old West's inadequate local police was unprepared for invasion of the country conquered by the Pact?,1,1,1,1.0,0.036067699999999814,1
4hop3__673447_132409_223216_35031,"Among the top five largest urban areas in the state Infest's performers were formed, what is the ranking of the city Pathology was formed in?",0,1,1,0.3333333333333333,0.05424110000000004,3
3hop1__604991_339990_54675,What mountain can you see from Portland in the state where Frozen Run's county is located?,0,0,1,0.14285714285714285,0.022201499999999985,7
2hop__705035_152093,What label is responsible for the performer of Crazy Love?,0,0,0,0.0,0.019923100000000193,
2hop__13574_13498,How many UEFA Super Cup awards have been received by the team that has won the treble competitions twice?,0,0,0,0.0,0.022822200000000237,
2hop__840174_78851,which professional sports team would you not see play a home game in the venue that held the 2004 Republican National Convention?,0,1,1,0.25,0.024033399999999983,4
2hop__107601_110222,When is the birthday of the creator of Le ruisseau noir?,1,1,1,1.0,0.019654099999999897,1
2hop__79875_72187,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,0,1,1,0.5,0.0350109999999999,2
3hop2__90098_76623_10557,What was the language from which the last name Sylvester originated during the era of the person crowned emperor of the west in 800 CE later known as?,0,0,0,0.0,0.022202100000000335,
2hop__351045_47134,What is the mascot of the operator of RV Wecoma?,1,1,1,1.0,0.018552899999999983,1
3hop1__694534_160088_49779,Who is the host of Who Wants to be a Millionaire in the country that MacGruder and Loud's creator is from?,0,0,0,0.0,0.02161219999999986,
2hop__576118_25719,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,0,0,0,0.0,0.021221600000000063,
2hop__81659_52835,Who wrote Turn Me On by the singer of Come Away with Me?,1,1,1,1.0,0.022000100000000078,1
4hop2__161602_426860_88460_63559,When was Burma's name changed to that of the country on the natural boundary between the country that hosted the tournament and the country where That Dam is from?,0,0,0,0.0,0.0237444,
3hop1__287291_375759_84283,Who owns the record label that The Tri-Tone Fascination's performer belongs to?,1,1,1,1.0,0.038812599999999975,1
2hop__136179_13529,When was the player that Iglesia Maradoniana is named after signed by Barcelona?,1,1,1,1.0,0.01762700000000006,1
3hop1__52222_40769_64047,When did the luxury division of the biggest automobile company in the world change the body style of rx 350?,0,0,0,0.0,0.04424319999999993,
2hop__256778_131879,Which is the body of water by the birthplace of Christopher Harris?,0,0,0,0.0,0.02318850000000028,
2hop__58939_213732,Who is the child of Obama's opponent in his first election?,0,1,1,0.5,0.03039709999999962,2
3hop1__104996_160713_77246,What is the meaning of the word that is also a majority religion in the area that became India when the country that release Ankahi was created in Arabic dictionary?,0,1,1,0.3333333333333333,0.032615099999999675,3
3hop2__127483_84553_10557,What was the language of Auctor of who built a european empire and was crowned emperor of the romans in 800 era later known as?,0,1,1,0.3333333333333333,0.05141889999999982,3
3hop1__602329_792411_51423,What is the name of the castle in the birth city of the performer who recorded A Day in the Life?,0,0,0,0.0,0.035694299999999846,
2hop__71165_807969,What team does the winner of the 2017 BBC African Footballer of the Year play for?,0,0,0,0.0,0.02952599999999972,
4hop2__161602_474028_88460_21062,Can foreign tourists cruise to the country between the nation that hosted 2020 AFC U-23 Championship qualification and the one that contains A Don.?,0,1,1,0.3333333333333333,0.01886739999999998,3
2hop__68590_27619,Where is the mission for the agency that controls the monetary policy of the EU found?,0,1,1,0.25,0.018383700000000225,4
3hop1__132968_40769_64047,When did the luxury division of the company that made Daihatsu Charmant change the body style of the rx 350?,1,1,1,1.0,0.017621300000000062,1
2hop__276637_126089,Who was in charge of the area where Pavilion Welgelegen is located?,1,1,1,1.0,0.02111300000000016,1
3hop1__702699_792411_51423,What is the name of the castle in the birth city of the performer on the album Maria?,0,0,0,0.0,0.016547199999999762,
3hop1__136016_87694_124169,On what date did Governor of the location where the basilica named after the same saint as Leeds Minster and the head of the catholic religion end?,1,1,1,1.0,0.03111530000000018,1
3hop1__38738_73181_68042,"When did the party that is the current majority in the political assembly that passed a bill giving regulators discretion to prohibit proprietary trades, gain control of the House?",1,1,1,1.0,0.041972300000000295,1
3hop1__129499_33897_81096,Who won the 1993 Indy Car race in the city with the largest population in the state where Poachie Range is located?,1,1,1,1.0,0.023902199999999763,1
2hop__748182_78303,"What was the name of one of Top Dog's cast members in the Walker, Texas Ranger?",1,1,1,1.0,0.047616800000000126,1
2hop__67057_52871,"After WWII, when did the US leave the nation it defeated at the Battle of Guadalcanal?",0,0,0,0.0,0.02272059999999998,
2hop__7855_7794,What is the population in 2010 of they city popular with tourists?,0,0,0,0.0,0.033946199999999926,
4hop3__862_846_613770_7713,How long was the place where the Yongle Emperor greeted who the Ming court thought representatives were sent by the capitol of the city in which Guangling District is located?,0,1,1,0.5,0.022003499999999843,2
3hop2__132957_133264_40768,"When did Nissan, the Acura Legend maker and the Scion Fuse manufacturer open US assembly plants?",1,1,1,1.0,0.017750999999999628,1
4hop1__752321_153080_33897_81096,Who won the Indy car race in the largest populated city in the state where the Pithecanthropus Erectus performer is from?,1,1,1,1.0,0.01803660000000029,1
4hop3__152056_698586_91248_54362,Who burned down the city where Dunn Dunn's artist died in the war after which the government got involved in healthcare?,0,0,1,0.14285714285714285,0.02269439999999978,7
2hop__95970_152907,What city is the star of Sous les pieds des femmes from?,1,1,1,1.0,0.019827300000000214,1
4hop3__754156_88460_30152_20999,How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,0,1,1,0.3333333333333333,0.045320600000000155,3
2hop__500379_126537,When did Burroughs Corporation merge to form a new corporation?,1,1,1,1.0,0.01873849999999999,1
3hop1__401538_132457_47686,Where do greyhound buses leave from in the city where the performer of We Sweat Blood was formed?,1,1,1,1.0,0.017864400000000114,1
2hop__283298_22402,How many students attend the university employing Marie Theres Fögen?,1,1,1,1.0,0.03561099999999984,1
3hop2__304722_796034_63959,When was the last time the sports team employing Winston Foster beat the 1894-95 FA Cup winner?,0,0,0,0.0,0.03013980000000016,
2hop__62951_64006,"As a result of the Black Death, how much was the population reduced in the place that the US helped with the Marshall Plan?",1,1,1,1.0,0.03521259999999993,1
2hop__734057_88628,Who did the cast member of Rooster Cogburn play in True Grit?,1,1,1,1.0,0.018388400000000082,1
2hop__153009_44880,Who is the mayor presiding now where Merrill Elam was born?,1,1,1,1.0,0.018704600000000404,1
4hop1__726152_153080_33897_81096,Who won the Indy Car Race in the largest populated city of the state where the performer of Tijuana Moods is from?,0,1,1,0.5,0.020031200000000027,2
4hop1__31333_59747_211319_557671,Which county shares a border with the county where the most populous city in the other state that sent Tennessee the most tourists in 2013 is located?,0,0,0,0.0,0.02078380000000024,
3hop2__87184_36497_76291,"When did the party that controls the House of Representatives right now, take control of the political body that the President calls on to support his USAF appointments?",0,0,0,0.0,0.018969699999999978,
2hop__865828_377862,Which city is in the same county as Gmina Jordanow?,0,0,0,0.0,0.03691280000000008,
3hop2__326964_734214_7713,How long had Lynn Hung's birthplace been the capitol city of Yaxing Coach's headquarters location?,1,1,1,1.0,0.016609799999999897,1
3hop1__390673_228453_10972,When did the headquarters city of Kentucky Tavern's manufacturer elect its first black mayor?,1,1,1,1.0,0.019990299999999905,1
3hop1__573244_339990_15538,When did the state where Kashinka Hollow is located in reinstate the death penalty?,1,1,1,1.0,0.05168550000000005,1
2hop__35137_22943,Where did the author of The Canon of Medicine think Venus was in relation to the sun?,0,1,1,0.5,0.026771700000000287,2
2hop__581084_828685,"Who employs the author of ""Ravenswood: The Steelworkers' Victory and the Revival of American Labor""?",1,1,1,1.0,0.0216075,1
3hop1__835193_160713_77246,In the Arabic dictionary what is the meaning of the word that also refers to the majority religion in India when the country containing Attabad was created?,1,1,1,1.0,0.022622400000000376,1
4hop1__145087_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Velma Barfield was born located in?,1,1,1,1.0,0.022277199999999553,1
3hop2__93066_88342_90766,When was the last time the winner of the American League East in 2017 met the Dodgers in the event after which the MLB MVP award is given out?,0,1,1,0.5,0.023034500000000513,2
2hop__747667_52835,Who wrote Turn Me On by the Thinking About You performer?,0,0,1,0.14285714285714285,0.018405700000000635,7
4hop3__160230_470287_862998_72134,When did the city where Hillcrest High School is located become capitol of the state in which a statue of a Latin mother goddess is located?,1,1,1,1.0,0.018968099999999488,1
2hop__547045_131879,What body of water is by the headquarters location of Wipac?,1,1,1,1.0,0.038722299999999876,1
3hop2__792915_223623_162182,In what region of the country containing the Cái River is the place where John Phan was born?,0,1,1,0.5,0.024259500000000322,2
2hop__132472_684936,The company making ALARM follows which company?,0,0,0,0.0,0.038549299999999675,
2hop__89657_289940,What team's player had the most league sacks?,0,0,0,0.0,0.015522100000000094,
2hop__434218_29905,How many mandatory transmitters of Don Newman's employer were updated before the deadline?,1,1,1,1.0,0.014429200000000364,1
2hop__36747_18974,Who led the military expedition in the place where the fight between Ming loyalists and Manchus occurred?,1,1,1,1.0,0.017085900000000542,1
4hop3__661103_698586_1926_54362,Who burned down the city where Dunn Dunn's artist died in the war after which black people declined living in NYC?,0,0,1,0.14285714285714285,0.030626199999999493,7
2hop__481809_184805,Who is the child of the horse who also fathered Tompion?,1,1,1,1.0,0.01754750000000005,1
3hop1__92251_34179_23375,"What year saw the publication of the version of the Molotov–Ribbentrop Pact, engineered by the politician who succeeded the leader of the Bolsheviks in the November Revolution?",0,0,0,0.0,0.05574149999999989,
2hop__15650_77173,Where are the Ozark Mountains located within the state where Robert Patton worked in May 2014?,0,1,1,0.5,0.01957450000000005,2
2hop__463353_66723,Who was the first black student admitted to the school that owns Swayze Field?,1,1,1,1.0,0.03776720000000022,1
2hop__631024_18974,Who led the military expedition in the province where Gong Beibi was born?,1,1,1,1.0,0.026253800000000105,1
3hop1__109422_720914_41132,How many times did the plague occur in the place of death of the creator of The Punishment of Tythus?,1,1,1,1.0,0.022862700000000125,1
4hop1__131820_59747_211319_557671,Which county shares a border with the county where the most populous city in the state where WEKL operates is located?,0,0,0,0.0,0.021342800000000217,
3hop1__524212_831637_91775,What does SEAL stand for in the military group that is part of the branch that operates the USS Askari?,1,1,1,1.0,0.01766159999999939,1
4hop2__71753_261673_70784_79935,When was the region that lies to the north of the where Israel is located and the location of Shamal created?,0,0,0,0.0,0.0184766999999999,
2hop__104095_40501,How many refugees emigrated to the country that Clara Peeters is a citizen of?,1,1,1,1.0,0.016528899999999958,1
2hop__89460_75184,Who in Back To The Future played the girlfriend of the character played by the actor playing marty's daughter in back to the future 2?,0,1,1,0.5,0.015774399999999744,2
2hop__37097_53663,Where is the river where the majority of Egyptians lived located in the world?,1,1,1,1.0,0.04603459999999959,1
2hop__252521_80650,Who played the character in the Santa Clause 3 that has a series named after it that includes Frost at Christmas?,1,1,1,1.0,0.04129279999999991,1
4hop1__88342_49853_128008_46894,Who has the lowest batting average in the league that the team that has won the most titles from the competition they give out MVP awards plays for?,1,1,1,1.0,0.019659700000000058,1
3hop1__136852_30587_83479,What was the main goal of Germany in the battle of the ocean region adjacent to the city where The Golden Palace is set?,0,0,0,0.0,0.019991999999999344,
3hop1__186307_503371_21711,When was the Palau de la Generalitat constructed in the city where Martin from where Jaulin is located died?,1,1,1,1.0,0.02166099999999993,1
3hop2__132957_593597_40768,"When did the maker of Acura Legend, the manufacturer of Scion Fuse and Nissan open US assembly plants?",1,1,1,1.0,0.053786599999999574,1
3hop1__497845_629431_64412,When did the place where the author of Princeps Pastorum died become its own country?,1,1,1,1.0,0.02358439999999984,1
2hop__312223_144857,What city was the author of What We Talk About When We Talk About love born in?,1,1,1,1.0,0.05627520000000086,1
3hop2__132957_76377_40768,"When did Nissan, the Acura Legend maker and the top selling car brand open US assembly plants?",1,1,1,1.0,0.01674180000000014,1
4hop1__3496_5274_458768_33633,What date did the explorer reach the location of the headquarters of the only company larger than BMG's partner from 2005-2007?,1,1,1,1.0,0.01926450000000024,1
2hop__30905_213732,"Who is the child of the person who sponsored the resolution to reopen trade with Vietnam, along with Kerry?",1,1,1,1.0,0.019552199999999686,1
3hop2__90098_84553_10557,"What was the form of the language where the last name Sylvester originates, used in the era of the individual crowned Emperor of the Romans in 800, later known as?",0,0,0,0.0,0.02225720000000031,
3hop1__161507_160713_77246,What is the meaning of the word that is also a majority religion in the area that became India when the country where Masherbrum is located was created in the Arabic dictionary?,0,1,1,0.3333333333333333,0.03702000000000005,3
2hop__235471_565925,What record label did the performer of The Place and the Time belong to?,0,0,0,0.0,0.01689000000000007,
2hop__32541_85460,What is the median household income for people today of the same country as the witness to the Blitz?,0,1,1,0.2,0.020523899999999706,5
2hop__998_25855,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,0,1,1,0.3333333333333333,0.02248759999999983,3
3hop1__726561_132457_47686,Where do greyhound buses leave from in the city the performer of Born a Lion formed in?,0,0,0,0.0,0.0315802000000005,
3hop2__28476_14777_9331,"What dissolved the privileges in Poland of the empire that controlled Estonia during The Great Awakening, the Kingdom that acquired some Thuringian territory in 1815, and the Habsburg Monarchy?",0,0,1,0.125,0.05339759999999938,8
2hop__29191_80144,Who became the president of Frederic Chopin's original country in 1990?,0,0,0,0.0,0.043192099999999733,
3hop1__133292_40769_64047,When did the RX 350 from The Hino Dutro creator's luxury division change body style?,1,1,1,1.0,0.05029660000000025,1
2hop__60001_512508,What did the person who discovered that all atoms of an element have the same number of protons participate in?,0,1,1,0.2,0.04090280000000046,5
2hop__487706_40501,How many refugees emigrated to the participant of Battle of Kentish Knock?,1,1,1,1.0,0.028323199999999993,1
4hop1__429751_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Purrysburg is located?,0,0,0,0.0,0.01614350000000009,
3hop1__268450_503371_21711,When was the Palau de la Generalitat built in the city in which died the man called Martin of the region of Spain where Berdejo is located?,1,1,1,1.0,0.016609100000000154,1
2hop__256336_714772,Who is the spouse of a cast member from King of the Mountain?,0,0,0,0.0,0.017858699999999672,
2hop__227031_144857,What is the name of the city where Tess Gallagher's spouse was born in?,1,1,1,1.0,0.01765479999999986,1
3hop1__857_846_7770,Where does the Yangtze River flow in the city where the Yongle emperor greeted the person to whom the edict was addressed?,0,1,1,0.5,0.049469700000000394,2
3hop1__390673_228453_86925,What is the manufacturer of the Kentucky Tavern headquarters location saints symbol called?,1,1,1,1.0,0.019006499999999704,1
4hop3__316459_41402_145282_13584,"Besides areas of the country that gained control of Florida after the conflict Charles Edmund Nugent participated in, what other differences are there between Paco Godia's birthplace and Real Madrid?",1,1,1,1.0,0.017489300000000263,1
2hop__62369_84616,"What did the singer of ""Moon River"" in the movie Breakfast at Tiffany win a Tony for?",1,1,1,1.0,0.016117399999999726,1
3hop1__79039_131926_87157,What is the direction of flow of the body of water by the home of the juicy lucy?,1,1,1,1.0,0.01715719999999976,1
2hop__696442_51329,What movie did Lauren Bacall's spouse win his only Oscar?,0,1,1,0.5,0.016061299999999612,2
4hop1__17192_17130_70784_61381,When was the region immediately north of the region where the country that secured southern Lebanon is located and the Persian Gulf established?,0,0,1,0.16666666666666666,0.016820100000000338,6
3hop1__313670_42197_18397,Another world leader said that Vladimir Rapoport's country was imperialist. Where did that leader announce that he would intervene in the Korean conflict?,1,1,1,1.0,0.027094700000000138,1
2hop__73921_807969,The BBC Footballer of the Year is a member of which team?,1,1,1,1.0,0.0348929999999994,1
2hop__725233_150107,Who published Communications of the publisher of the Mobile Computing and Communications Review?,1,1,1,1.0,0.022261900000000168,1
3hop2__326964_573858_7713,How long had China Sunergy's headquarters location been the capitol city of Yaxing Coach's headquarters location?,1,1,1,1.0,0.03829119999999975,1
2hop__83800_747874,Who's the sibling of the player who won the men's wimbledon championship 2016?,0,0,0,0.0,0.03671350000000029,
2hop__57638_72467,What team picked the highest point average holder in NBA history in the NBA draft?,0,0,0,0.0,0.022141200000000083,
4hop3__857_846_613770_7713,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,1,1,1,1.0,0.02059269999999991,1
2hop__367318_7292,"What artist was featured on Smooth Jazz Stations, along with Kenny G and the performer of The Dance?",1,1,1,1.0,0.02094750000000012,1
2hop__40970_90367,What was the role of God in the Biblical crossing of the sea where herbivorous fishes have been seen feeding on gelatinous zooplankton?,1,1,1,1.0,0.02154790000000073,1
3hop1__147225_30587_83479,What was Germany's goal in the Battle of the ocean adjacent to the city Herbert Saffir died in?,1,1,1,1.0,0.01956559999999996,1
2hop__6956_192417,The league the New England Patriots belongs to is an example of what?,1,1,1,1.0,0.016485999999999557,1
3hop2__304722_238553_63959,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,0,0,0,0.0,0.01983770000000007,
3hop1__768500_730460_70315,Where did Katrina hit the hardest in the Toussaint performer's birthplace?,0,1,1,0.5,0.017012599999999267,2
3hop2__781093_467331_162182,In what region of the country where Lam Thao is located is the city where the Zone 5 Military Museum can be found?,1,1,1,1.0,0.03485079999999918,1
2hop__269766_43945,Common Sense which was written by the author of The Age of Reason was an important work because?,1,1,1,1.0,0.020576199999999822,1
2hop__60336_169233,What award did the actor who played Peter Pan in the movie Hook receive?,0,0,1,0.16666666666666666,0.04577500000000079,6
2hop__445963_6098,Over how many slaves ended up getting emancipated on the birth place of Francis Watson?,0,1,1,0.5,0.01778910000000078,2
2hop__21075_5028,What was the average per capita GVA in 2013 of the country which created Burma's academic system?,1,1,1,1.0,0.04708290000000037,1
4hop3__312119_132409_371500_35031,"Among the top five largest urban areas in the state where Getting Away with Murder's performer was formed, where does Veoh's headquarters city rank?",0,0,0,0.0,0.04699960000000036,
2hop__2613_59409,The rapper who owns Aspiro was inspired by what when writing Song Cry?,0,0,0,0.0,0.04470510000000072,
2hop__21103_16334,"In a 2010 study, what modern population is most closely related to the group that represents the majority of modern Jewry?",1,1,1,1.0,0.09796400000000016,1
2hop__827940_277334,Which child of the author of One More Time helped adapt it into a play?,1,1,1,1.0,0.036918799999999585,1
2hop__243084_523417,What is the anime that has Seta Sōjirō an instance of?,1,1,1,1.0,0.028588800000000525,1
2hop__58939_189318,Where was Obama's opponent in his first election educated?,0,1,1,0.25,0.036710199999999915,4
3hop2__326964_7845_7713,How long had the home of some of the country's most prominent art groups been the capitol city of Yaxing Coach's headquarters location?,1,1,1,1.0,0.01747199999999971,1
3hop1__280834_547811_80702,What is the name of the famous bridge in the birthplace of Bajazet's composer?,1,1,1,1.0,0.015770700000000026,1
2hop__821368_14251,What line by a cast member of Doing His Bit is believed to have started the archie nickname?,0,1,1,0.5,0.038964,2
2hop__223823_29905,How many mandatory transmitters of the Canadian Broadcasting Centre's owner were updated before the deadline?,1,1,1,1.0,0.0306438,1
2hop__123145_66723,who was the first black student admitted to the university that Stewart Patridge attended?,1,1,1,1.0,0.032965600000000705,1
3hop1__159728_91191_156667,What was the name of the spouse of the first convert to the most prevalent religion in Jordan?,0,0,0,0.0,0.02121269999999953,
3hop1__158139_19788_15107,What percentage of Eritrea adheres to the religion widely practiced where suicides by females are more common in young than old?,1,1,1,1.0,0.04286920000000016,1
2hop__75207_7363,At what local time does the country where Fuser and Alberto meet the indigenous couple traveling to look for work change their clocks for DST?,0,1,1,0.5,0.022115599999999347,2
2hop__528263_865831,In which county is Kimbrough Memorial Stadium located?,1,1,1,1.0,0.021911999999999487,1
2hop__104095_40502,Before this emigration what was the population of Clara Peeters's country of citizenship?,0,1,1,0.3333333333333333,0.018331100000000156,3
