question_id,question,subquery_count,candidate_count,gold_in_candidates,recall@1,recall@5,recall@10,mrr,first_gold_rank,latency_seconds
2hop__80070_89752,What is the largest state in the region where the Handmaid's Tale takes place?,2,50,1,0,0,1,0.14285714285714285,7,33.9659547
2hop__59133_512508,What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,2,48,1,0,1,1,0.3333333333333333,3,37.60205559999997
4hop1__364476_439408_131976_90181,"What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?",4,96,1,0,1,1,0.5,2,62.01925529999994
2hop__13731_801817,Where was Mary's betrothed born?,2,50,1,0,1,1,0.5,2,37.58688940000002
2hop__68158_189357,Where was the first female supreme court justice educated?,2,45,1,0,1,1,0.5,2,30.500130799999965
2hop__13539_13493,"In 2009, what series of wins did the team who won the first match in the 1943 Copa del Generalissimo achieve?",2,42,1,0,1,1,0.5,2,36.54267870000001
4hop1__444892_32392_823060_610794,In what county is the city that shares a border with the capital of the state where Levi Casey was born?,4,99,1,0,0,0,0.0,,71.08388690000004
2hop__54651_169233,What award did the singer of Never Had a Friend Like Me in Aladdin receive?,2,49,1,1,1,1,1.0,1,42.730168299999946
4hop1__342858_131850_33952_33939,What was the population in 1900 of the second largest city in the US state having the Library District of the county containing Yuma?,4,96,1,1,1,1,1.0,1,65.53874740000003
3hop1__131820_59747_60748,The largest city in the state where WEKL broadcasts had an historic battle that was fought when?,3,75,1,1,1,1,1.0,1,53.030556899999965
2hop__754682_730690,What movement was Vibullia Alcia Agrippina's child a proponent for?,2,49,1,1,1,1,1.0,1,41.89786210000011
4hop3__131820_29339_508306_70744,"Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?",4,99,1,1,1,1,1.0,1,64.41674469999998
2hop__341305_332933,What is the capital of the county that Pine Springs is located in?,2,49,1,1,1,1,1.0,1,29.552710700000034
3hop1__567955_503371_21711,When was the Palau de la Generalitat constructed in the city where Martin of the region where Layana is located died?,3,74,1,1,1,1,1.0,1,46.3210047
2hop__142443_768138,Who is the brother of the artist who made Nothin' My Love Can't Fix's album?,2,49,1,1,1,1,1.0,1,36.88228509999999
3hop1__140786_2053_52946,"When is Celebrity Big Brother coming to the broadcast company that, along with the network of Just Men!?, and ABC, is one of the major broadcasters based in New York?",3,75,1,1,1,1,1.0,1,49.83421139999996
3hop1__46571_87694_124169,When did the Governor of the city where the Basilica named after the saint holding the knife in the Last Supper is located in end?,3,74,1,1,1,1,1.0,1,52.67738340000005
2hop__65576_80026,Who played the spoilt character in Charlie and the Chocolate Factory?,2,32,1,0,0,0,0.0,,26.440084099999922
4hop1__151650_5274_458768_33632,What day is the Feast in the city where the headquarters of the only group larger than Desde El Principio's record label held on?,4,91,1,0,1,1,0.3333333333333333,3,58.5058818
2hop__401710_456439,Who is the spouse of the producer of Dolores Claiborne?,2,49,1,1,1,1,1.0,1,30.359476300000097
4hop1__9007_698949_157828_239539,The original language of the film titled and about the city of Tito's final resting place is the co-official language of a country. Where are the headquarters for that country's national radio and TV broadcaster?,4,100,1,0,1,1,0.5,2,71.43874180000012
2hop__17854_17873,What happened to Buckingham Palace after the first monarch to reside there left?,2,47,1,1,1,1,1.0,1,38.46359890000008
2hop__307719_121900,What college did the 2011 Australian Open - Men's Doubles winner go to?,2,50,1,1,1,1,1.0,1,37.3858780999999
3hop1__358853_339990_54675,"What mountain can you see from Portland, in the state that Raven Creek is located in?",3,72,1,0,1,1,0.5,2,42.23006399999986
3hop2__89048_809962_66294,Who played who sang is she really going out with him in the composer of speechless movie?,3,74,1,1,1,1,1.0,1,58.0846039999999
3hop1__68981_91191_16530,Who was appointed arbitrator by the first convert to the faith that is the most common religion in Southeast Asia?,3,73,1,0,0,1,0.16666666666666666,6,66.06239160000018
4hop2__9988_158985_70784_61381,When was the region immediately north of the region prevailing with the disgrace of the Near East and the site of the most growth in desalination for agricultural use established?,4,98,1,0,1,1,0.3333333333333333,3,71.40381930000012
2hop__345_59409,Who was the person who purchased Tidal's parent company in 2015 talking about in the song 'Cry?',2,48,1,1,1,1,1.0,1,40.35236780000014
2hop__64323_55840,Who played the king that was king of england in 1951 in the king's speech?,2,49,1,1,1,1,1.0,1,36.350615899999866
3hop1__796649_720914_41132,How many times did the plague occur in the city where Flora's painter died?,3,74,1,1,1,1,1.0,1,49.78389440000001
3hop1__540585_568433_47686,Where do greyhound buses leave from in the location of the headquarters of the production company of Miss Spider's Sunny Patch Kids?,3,75,1,1,1,1,1.0,1,51.54012250000005
2hop__35137_22899,What age did the writer of The Canon of Medicine learn the entire quran?,2,50,1,0,1,1,0.25,4,46.12759560000018
2hop__13548_13529,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,2,47,1,0,0,1,0.125,8,36.80171730000029
2hop__83489_747874,Who is the brother of the player who has won the most bbc sports personality of the year awards?,2,49,1,0,1,1,0.5,2,38.27181610000025
3hop1__849312_503371_21711,When was the Palau de la Generalitat constructed in the city where Martin from the region where Perdiguera is located died?,3,74,1,1,1,1,1.0,1,49.698155699999916
2hop__38229_84500,What does the name of the topic that Eisenhower didn't discuss during the campaign stand for?,2,50,1,1,1,1,1.0,1,45.989646900000025
2hop__2150_78851,Which professional sports team would you not see play a home game in where the Amateur Boxing Golden Gloves takes place?,2,49,1,0,0,0,0.0,,40.22024929999998
3hop2__103889_30152_20999,How were the people that the Ajuran Empire declared independence from by minting coins expelled from Zaw Win Thet's country?,3,75,1,0,1,1,0.5,2,60.041218800000024
3hop1__857_846_7870,"Other than at the 1912 block found in the city where the Yongle Emperor met the leader that the edict was addressed to, where else are there lots of bars?",3,73,1,1,1,1,1.0,1,57.38543690000006
2hop__811015_3300,What season was the performer of Blue Skies on?,2,49,1,1,1,1,1.0,1,29.484583699999803
4hop1__58323_375563_161848_44231,"During WW2, who was the leader of the country near the country of citizenship of the writer of The Book Thief?",4,98,1,1,1,1,1.0,1,66.06586359999983
2hop__55552_158105,What two features of Windows 98 were highlighted by the man who announced Windows in 1983?,2,49,1,1,1,1,1.0,1,37.2519585
4hop1__473563_309800_355213_203322,Which county shares border with the county having the birth city of the director of Let the Good Times Roll?,4,99,1,1,1,1,1.0,1,61.88002359999973
2hop__157251_556157,What river does the system containing Umchabezi River serve as the mouth of?,2,49,1,1,1,1,1.0,1,28.683956999999737
2hop__84847_21969,When was the 1st governor general of India impeached?,2,43,1,0,1,1,0.25,4,33.100284999999985
4hop1__129721_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Zubly Cemetery is located in?,4,99,1,1,1,1,1.0,1,66.08530680000013
2hop__478978_124498,Who is the father of the performer of Je dis aime?,2,49,1,1,1,1,1.0,1,33.3338418999997
4hop1__105688_17130_70784_61381,The country that Eyal Golan is from lies within a certain region. When was the area that lies immediately to the north of that region established?,4,99,1,1,1,1,1.0,1,73.77151950000007
2hop__178922_5385,How many people work in the publisher of World Literature Today?,2,50,1,1,1,1,1.0,1,37.18894279999995
4hop2__5206_39078_8987_8974,Where is the embassy in the only communist country whose military branch helping the Old West's inadequate local police was unprepared for invasion of the country conquered by the Pact?,4,98,1,1,1,1,1.0,1,74.22407310000017
4hop3__673447_132409_223216_35031,"Among the top five largest urban areas in the state Infest's performers were formed, what is the ranking of the city Pathology was formed in?",4,99,1,1,1,1,1.0,1,71.7387963000001
3hop1__604991_339990_54675,What mountain can you see from Portland in the state where Frozen Run's county is located?,3,71,1,1,1,1,1.0,1,44.08614269999998
2hop__705035_152093,What label is responsible for the performer of Crazy Love?,2,49,1,1,1,1,1.0,1,32.89522889999989
2hop__13574_13498,How many UEFA Super Cup awards have been received by the team that has won the treble competitions twice?,2,42,1,0,0,0,0.0,,34.95879960000002
2hop__840174_78851,which professional sports team would you not see play a home game in the venue that held the 2004 Republican National Convention?,2,49,1,1,1,1,1.0,1,39.56003009999995
2hop__107601_110222,When is the birthday of the creator of Le ruisseau noir?,2,49,1,1,1,1,1.0,1,31.869199299999764
2hop__79875_72187,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,2,48,1,0,1,1,0.3333333333333333,3,25.955457600000045
3hop2__90098_76623_10557,What was the language from which the last name Sylvester originated during the era of the person crowned emperor of the west in 800 CE later known as?,3,72,1,1,1,1,1.0,1,39.16787489999979
2hop__351045_47134,What is the mascot of the operator of RV Wecoma?,2,49,1,1,1,1,1.0,1,29.06092209999997
3hop1__694534_160088_49779,Who is the host of Who Wants to be a Millionaire in the country that MacGruder and Loud's creator is from?,3,75,1,0,0,0,0.0,,36.961818199999925
2hop__576118_25719,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,2,50,1,0,1,1,0.2,5,27.745921700000054
2hop__81659_52835,Who wrote Turn Me On by the singer of Come Away with Me?,2,44,1,1,1,1,1.0,1,23.445843999999852
4hop2__161602_426860_88460_63559,When was Burma's name changed to that of the country on the natural boundary between the country that hosted the tournament and the country where That Dam is from?,4,98,1,0,1,1,0.3333333333333333,3,55.315956800000095
3hop1__287291_375759_84283,Who owns the record label that The Tri-Tone Fascination's performer belongs to?,3,72,1,1,1,1,1.0,1,35.23692859999983
2hop__136179_13529,When was the player that Iglesia Maradoniana is named after signed by Barcelona?,2,49,1,1,1,1,1.0,1,22.589759500000127
3hop1__52222_40769_64047,When did the luxury division of the biggest automobile company in the world change the body style of rx 350?,3,71,1,0,1,1,0.25,4,51.94144929999993
2hop__256778_131879,Which is the body of water by the birthplace of Christopher Harris?,2,50,1,0,0,0,0.0,,28.19018180000012
2hop__58939_213732,Who is the child of Obama's opponent in his first election?,2,48,1,1,1,1,1.0,1,26.31181140000035
3hop1__104996_160713_77246,What is the meaning of the word that is also a majority religion in the area that became India when the country that release Ankahi was created in Arabic dictionary?,3,74,1,1,1,1,1.0,1,48.168335599999864
3hop2__127483_84553_10557,What was the language of Auctor of who built a european empire and was crowned emperor of the romans in 800 era later known as?,3,71,1,1,1,1,1.0,1,37.98940270000003
3hop1__602329_792411_51423,What is the name of the castle in the birth city of the performer who recorded A Day in the Life?,3,74,1,1,1,1,1.0,1,34.97505560000036
2hop__71165_807969,What team does the winner of the 2017 BBC African Footballer of the Year play for?,2,48,1,1,1,1,1.0,1,29.475837599999977
4hop2__161602_474028_88460_21062,Can foreign tourists cruise to the country between the nation that hosted 2020 AFC U-23 Championship qualification and the one that contains A Don.?,4,99,1,1,1,1,1.0,1,58.38598890000003
2hop__68590_27619,Where is the mission for the agency that controls the monetary policy of the EU found?,2,47,1,1,1,1,1.0,1,24.28214969999999
3hop1__132968_40769_64047,When did the luxury division of the company that made Daihatsu Charmant change the body style of the rx 350?,3,71,1,0,1,1,0.25,4,28.016478000000006
2hop__276637_126089,Who was in charge of the area where Pavilion Welgelegen is located?,2,49,1,1,1,1,1.0,1,17.907013300000017
3hop1__702699_792411_51423,What is the name of the castle in the birth city of the performer on the album Maria?,3,75,1,1,1,1,1.0,1,35.955551099999866
3hop1__136016_87694_124169,On what date did Governor of the location where the basilica named after the same saint as Leeds Minster and the head of the catholic religion end?,3,74,1,1,1,1,1.0,1,33.066541400000006
3hop1__38738_73181_68042,"When did the party that is the current majority in the political assembly that passed a bill giving regulators discretion to prohibit proprietary trades, gain control of the House?",3,75,1,0,0,0,0.0,,42.78621199999998
3hop1__129499_33897_81096,Who won the 1993 Indy Car race in the city with the largest population in the state where Poachie Range is located?,3,75,1,1,1,1,1.0,1,51.41952850000007
2hop__748182_78303,"What was the name of one of Top Dog's cast members in the Walker, Texas Ranger?",2,49,1,1,1,1,1.0,1,33.37188879999985
2hop__67057_52871,"After WWII, when did the US leave the nation it defeated at the Battle of Guadalcanal?",2,50,0,0,0,0,0.0,,57.43598519999978
2hop__7855_7794,What is the population in 2010 of they city popular with tourists?,2,50,1,0,0,0,0.0,,35.50331499999993
4hop3__862_846_613770_7713,How long was the place where the Yongle Emperor greeted who the Ming court thought representatives were sent by the capitol of the city in which Guangling District is located?,4,90,1,1,1,1,1.0,1,77.33196810000027
3hop2__132957_133264_40768,"When did Nissan, the Acura Legend maker and the Scion Fuse manufacturer open US assembly plants?",3,74,1,1,1,1,1.0,1,37.9426040999997
4hop1__752321_153080_33897_81096,Who won the Indy car race in the largest populated city in the state where the Pithecanthropus Erectus performer is from?,4,99,1,1,1,1,1.0,1,46.03140560000065
4hop3__152056_698586_91248_54362,Who burned down the city where Dunn Dunn's artist died in the war after which the government got involved in healthcare?,4,99,1,0,0,1,0.14285714285714285,7,55.107953599999746
2hop__95970_152907,What city is the star of Sous les pieds des femmes from?,2,49,1,1,1,1,1.0,1,19.030256400000326
4hop3__754156_88460_30152_20999,How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,4,99,1,1,1,1,1.0,1,50.11905750000005
2hop__500379_126537,When did Burroughs Corporation merge to form a new corporation?,2,48,1,0,1,1,0.5,2,24.778762599999936
3hop1__401538_132457_47686,Where do greyhound buses leave from in the city where the performer of We Sweat Blood was formed?,3,74,1,1,1,1,1.0,1,69.54701409999961
2hop__283298_22402,How many students attend the university employing Marie Theres Fögen?,2,49,1,1,1,1,1.0,1,35.938200399999914
3hop2__304722_796034_63959,When was the last time the sports team employing Winston Foster beat the 1894-95 FA Cup winner?,3,74,1,1,1,1,1.0,1,55.24198830000023
2hop__62951_64006,"As a result of the Black Death, how much was the population reduced in the place that the US helped with the Marshall Plan?",2,50,1,1,1,1,1.0,1,42.88113389999944
2hop__734057_88628,Who did the cast member of Rooster Cogburn play in True Grit?,2,47,1,1,1,1,1.0,1,24.980903300000136
2hop__153009_44880,Who is the mayor presiding now where Merrill Elam was born?,2,50,1,1,1,1,1.0,1,31.875646899999992
4hop1__726152_153080_33897_81096,Who won the Indy Car Race in the largest populated city of the state where the performer of Tijuana Moods is from?,4,98,1,1,1,1,1.0,1,82.7986579999997
4hop1__31333_59747_211319_557671,Which county shares a border with the county where the most populous city in the other state that sent Tennessee the most tourists in 2013 is located?,4,98,1,0,0,0,0.0,,80.6798888000003
3hop2__87184_36497_76291,"When did the party that controls the House of Representatives right now, take control of the political body that the President calls on to support his USAF appointments?",3,69,1,0,1,1,0.5,2,39.8896235000002
2hop__865828_377862,Which city is in the same county as Gmina Jordanow?,2,31,1,1,1,1,1.0,1,10.9831279
3hop2__326964_734214_7713,How long had Lynn Hung's birthplace been the capitol city of Yaxing Coach's headquarters location?,3,74,1,1,1,1,1.0,1,37.93247280000014
3hop1__390673_228453_10972,When did the headquarters city of Kentucky Tavern's manufacturer elect its first black mayor?,3,73,1,1,1,1,1.0,1,31.262056399999892
3hop1__573244_339990_15538,When did the state where Kashinka Hollow is located in reinstate the death penalty?,3,71,1,1,1,1,1.0,1,48.742734600000404
2hop__35137_22943,Where did the author of The Canon of Medicine think Venus was in relation to the sun?,2,50,1,1,1,1,1.0,1,42.69378620000043
2hop__581084_828685,"Who employs the author of ""Ravenswood: The Steelworkers' Victory and the Revival of American Labor""?",2,48,1,1,1,1,1.0,1,36.902943799999775
3hop1__835193_160713_77246,In the Arabic dictionary what is the meaning of the word that also refers to the majority religion in India when the country containing Attabad was created?,3,74,1,1,1,1,1.0,1,46.59186210000007
4hop1__145087_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Velma Barfield was born located in?,4,99,1,1,1,1,1.0,1,56.52779770000052
3hop2__93066_88342_90766,When was the last time the winner of the American League East in 2017 met the Dodgers in the event after which the MLB MVP award is given out?,3,68,1,0,1,1,0.2,5,62.62124399999993
2hop__747667_52835,Who wrote Turn Me On by the Thinking About You performer?,2,48,1,1,1,1,1.0,1,32.29342059999999
4hop3__160230_470287_862998_72134,When did the city where Hillcrest High School is located become capitol of the state in which a statue of a Latin mother goddess is located?,4,97,1,1,1,1,1.0,1,40.58685409999998
2hop__547045_131879,What body of water is by the headquarters location of Wipac?,2,49,1,1,1,1,1.0,1,36.64454079999996
3hop2__792915_223623_162182,In what region of the country containing the Cái River is the place where John Phan was born?,3,74,1,1,1,1,1.0,1,46.14761659999931
2hop__132472_684936,The company making ALARM follows which company?,2,48,1,0,1,1,0.25,4,22.067827699999725
2hop__89657_289940,What team's player had the most league sacks?,2,50,1,0,0,0,0.0,,32.145227900000464
2hop__434218_29905,How many mandatory transmitters of Don Newman's employer were updated before the deadline?,2,50,1,1,1,1,1.0,1,40.43784930000038
2hop__36747_18974,Who led the military expedition in the place where the fight between Ming loyalists and Manchus occurred?,2,49,1,0,1,1,0.2,5,39.007794099999956
4hop3__661103_698586_1926_54362,Who burned down the city where Dunn Dunn's artist died in the war after which black people declined living in NYC?,4,99,1,0,1,1,0.2,5,81.44612400000005
2hop__481809_184805,Who is the child of the horse who also fathered Tompion?,2,49,1,1,1,1,1.0,1,41.95852839999952
3hop1__92251_34179_23375,"What year saw the publication of the version of the Molotov–Ribbentrop Pact, engineered by the politician who succeeded the leader of the Bolsheviks in the November Revolution?",3,70,1,0,0,1,0.125,8,62.14627269999983
2hop__15650_77173,Where are the Ozark Mountains located within the state where Robert Patton worked in May 2014?,2,50,1,1,1,1,1.0,1,41.27866600000016
2hop__463353_66723,Who was the first black student admitted to the school that owns Swayze Field?,2,49,1,1,1,1,1.0,1,44.33058239999991
2hop__631024_18974,Who led the military expedition in the province where Gong Beibi was born?,2,50,1,1,1,1,1.0,1,51.27451910000036
3hop1__109422_720914_41132,How many times did the plague occur in the place of death of the creator of The Punishment of Tythus?,3,74,1,1,1,1,1.0,1,47.15266359999987
4hop1__131820_59747_211319_557671,Which county shares a border with the county where the most populous city in the state where WEKL operates is located?,4,99,1,1,1,1,1.0,1,53.38782260000062
3hop1__524212_831637_91775,What does SEAL stand for in the military group that is part of the branch that operates the USS Askari?,3,66,1,1,1,1,1.0,1,31.833938599999783
4hop2__71753_261673_70784_79935,When was the region that lies to the north of the where Israel is located and the location of Shamal created?,4,98,1,1,1,1,1.0,1,58.27612399999998
2hop__104095_40501,How many refugees emigrated to the country that Clara Peeters is a citizen of?,2,49,1,1,1,1,1.0,1,29.0656728999993
2hop__89460_75184,Who in Back To The Future played the girlfriend of the character played by the actor playing marty's daughter in back to the future 2?,2,36,1,0,0,1,0.16666666666666666,6,23.516997699999592
2hop__37097_53663,Where is the river where the majority of Egyptians lived located in the world?,2,45,1,1,1,1,1.0,1,12.172691200000372
2hop__252521_80650,Who played the character in the Santa Clause 3 that has a series named after it that includes Frost at Christmas?,2,44,1,1,1,1,1.0,1,34.23051149999992
4hop1__88342_49853_128008_46894,Who has the lowest batting average in the league that the team that has won the most titles from the competition they give out MVP awards plays for?,4,92,1,0,1,1,0.25,4,58.127906800000346
3hop1__136852_30587_83479,What was the main goal of Germany in the battle of the ocean region adjacent to the city where The Golden Palace is set?,3,74,1,0,0,0,0.0,,79.26395959999991
3hop1__186307_503371_21711,When was the Palau de la Generalitat constructed in the city where Martin from where Jaulin is located died?,3,75,1,1,1,1,1.0,1,53.641510800000106
3hop2__132957_593597_40768,"When did the maker of Acura Legend, the manufacturer of Scion Fuse and Nissan open US assembly plants?",3,74,1,1,1,1,1.0,1,60.67472959999941
3hop1__497845_629431_64412,When did the place where the author of Princeps Pastorum died become its own country?,3,72,1,1,1,1,1.0,1,54.17041429999972
2hop__312223_144857,What city was the author of What We Talk About When We Talk About love born in?,2,48,1,1,1,1,1.0,1,38.86745389999942
3hop2__132957_76377_40768,"When did Nissan, the Acura Legend maker and the top selling car brand open US assembly plants?",3,73,1,1,1,1,1.0,1,40.09468740000011
4hop1__3496_5274_458768_33633,What date did the explorer reach the location of the headquarters of the only company larger than BMG's partner from 2005-2007?,4,91,1,0,1,1,0.5,2,37.1832988999995
2hop__30905_213732,"Who is the child of the person who sponsored the resolution to reopen trade with Vietnam, along with Kerry?",2,49,1,1,1,1,1.0,1,23.256699900000058
3hop2__90098_84553_10557,"What was the form of the language where the last name Sylvester originates, used in the era of the individual crowned Emperor of the Romans in 800, later known as?",3,70,1,1,1,1,1.0,1,31.572431500000675
3hop1__161507_160713_77246,What is the meaning of the word that is also a majority religion in the area that became India when the country where Masherbrum is located was created in the Arabic dictionary?,3,74,1,0,1,1,0.3333333333333333,3,49.23976490000041
2hop__235471_565925,What record label did the performer of The Place and the Time belong to?,2,50,1,1,1,1,1.0,1,26.70910830000048
2hop__32541_85460,What is the median household income for people today of the same country as the witness to the Blitz?,2,50,1,1,1,1,1.0,1,33.36583780000001
2hop__998_25855,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,2,48,1,1,1,1,1.0,1,42.03411959999994
3hop1__726561_132457_47686,Where do greyhound buses leave from in the city the performer of Born a Lion formed in?,3,73,1,1,1,1,1.0,1,43.358000000000175
3hop2__28476_14777_9331,"What dissolved the privileges in Poland of the empire that controlled Estonia during The Great Awakening, the Kingdom that acquired some Thuringian territory in 1815, and the Habsburg Monarchy?",3,74,1,0,0,0,0.0,,56.69474199999968
2hop__29191_80144,Who became the president of Frederic Chopin's original country in 1990?,2,50,0,0,0,0,0.0,,33.22659939999994
3hop1__133292_40769_64047,When did the RX 350 from The Hino Dutro creator's luxury division change body style?,3,71,1,1,1,1,1.0,1,40.61446809999961
2hop__60001_512508,What did the person who discovered that all atoms of an element have the same number of protons participate in?,2,48,1,0,1,1,0.2,5,32.16096440000001
2hop__487706_40501,How many refugees emigrated to the participant of Battle of Kentish Knock?,2,49,1,1,1,1,1.0,1,31.10944660000041
4hop1__429751_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Purrysburg is located?,4,88,1,0,0,0,0.0,,74.5752279999997
3hop1__268450_503371_21711,When was the Palau de la Generalitat built in the city in which died the man called Martin of the region of Spain where Berdejo is located?,3,75,1,1,1,1,1.0,1,37.93595060000007
2hop__256336_714772,Who is the spouse of a cast member from King of the Mountain?,2,50,1,1,1,1,1.0,1,20.02654210000037
2hop__227031_144857,What is the name of the city where Tess Gallagher's spouse was born in?,2,49,1,0,0,1,0.14285714285714285,7,26.604384700000082
3hop1__857_846_7770,Where does the Yangtze River flow in the city where the Yongle emperor greeted the person to whom the edict was addressed?,3,74,1,0,0,0,0.0,,37.61355240000012
3hop1__390673_228453_86925,What is the manufacturer of the Kentucky Tavern headquarters location saints symbol called?,3,73,1,1,1,1,1.0,1,35.25639169999977
4hop3__316459_41402_145282_13584,"Besides areas of the country that gained control of Florida after the conflict Charles Edmund Nugent participated in, what other differences are there between Paco Godia's birthplace and Real Madrid?",4,99,1,1,1,1,1.0,1,54.71751850000055
2hop__62369_84616,"What did the singer of ""Moon River"" in the movie Breakfast at Tiffany win a Tony for?",2,47,1,1,1,1,1.0,1,63.81061970000064
3hop1__79039_131926_87157,What is the direction of flow of the body of water by the home of the juicy lucy?,3,75,1,1,1,1,1.0,1,112.98987400000078
2hop__696442_51329,What movie did Lauren Bacall's spouse win his only Oscar?,2,49,1,0,1,1,0.2,5,502.32174869999926
4hop1__17192_17130_70784_61381,When was the region immediately north of the region where the country that secured southern Lebanon is located and the Persian Gulf established?,4,98,1,0,1,1,0.3333333333333333,3,340.4159695999997
3hop1__313670_42197_18397,Another world leader said that Vladimir Rapoport's country was imperialist. Where did that leader announce that he would intervene in the Korean conflict?,3,73,1,1,1,1,1.0,1,62.39661850000084
2hop__73921_807969,The BBC Footballer of the Year is a member of which team?,2,48,1,0,1,1,0.3333333333333333,3,30.81313990000126
2hop__725233_150107,Who published Communications of the publisher of the Mobile Computing and Communications Review?,2,39,1,1,1,1,1.0,1,16.55358150000029
3hop2__326964_573858_7713,How long had China Sunergy's headquarters location been the capitol city of Yaxing Coach's headquarters location?,3,60,1,1,1,1,1.0,1,29.044316899999103
2hop__83800_747874,Who's the sibling of the player who won the men's wimbledon championship 2016?,2,50,1,0,1,1,0.3333333333333333,3,25.501508000001195
2hop__57638_72467,What team picked the highest point average holder in NBA history in the NBA draft?,2,45,1,0,1,1,0.3333333333333333,3,34.677504999999655
4hop3__857_846_613770_7713,How long was the place where the Yongle Emperor greeted the person to whom the edict was addressed the capitol of the area where Guangling District was located?,4,97,1,1,1,1,1.0,1,65.58862539999973
2hop__367318_7292,"What artist was featured on Smooth Jazz Stations, along with Kenny G and the performer of The Dance?",2,50,1,1,1,1,1.0,1,22.438919300000634
2hop__40970_90367,What was the role of God in the Biblical crossing of the sea where herbivorous fishes have been seen feeding on gelatinous zooplankton?,2,50,1,0,1,1,0.5,2,33.15080560000024
3hop1__147225_30587_83479,What was Germany's goal in the Battle of the ocean adjacent to the city Herbert Saffir died in?,3,74,1,0,0,0,0.0,,42.88942400000087
2hop__6956_192417,The league the New England Patriots belongs to is an example of what?,2,47,1,0,0,1,0.16666666666666666,6,26.12575629999992
3hop2__304722_238553_63959,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,3,74,1,1,1,1,1.0,1,43.64178429999993
3hop1__768500_730460_70315,Where did Katrina hit the hardest in the Toussaint performer's birthplace?,3,64,1,0,1,1,0.5,2,41.8717517999994
3hop2__781093_467331_162182,In what region of the country where Lam Thao is located is the city where the Zone 5 Military Museum can be found?,3,72,1,1,1,1,1.0,1,34.63829040000019
2hop__269766_43945,Common Sense which was written by the author of The Age of Reason was an important work because?,2,49,1,1,1,1,1.0,1,44.18876700000146
2hop__60336_169233,What award did the actor who played Peter Pan in the movie Hook receive?,2,50,1,1,1,1,1.0,1,66.11909209999976
2hop__445963_6098,Over how many slaves ended up getting emancipated on the birth place of Francis Watson?,2,50,1,1,1,1,1.0,1,52.488284199998816
2hop__21075_5028,What was the average per capita GVA in 2013 of the country which created Burma's academic system?,2,50,1,0,0,1,0.14285714285714285,7,71.2992581999988
